Name,MFG,Form,Max_Torque_Nm,Cont_Torque_Nm,Max_Speed_rpm,Rated_Speed_rpm,Weight_kg,Weight_Flag,OD_mm,Length_mm,Kv,Pole_Pairs,Voltage_V,Cost_USD,Cost_Flag,Notes
RI50 KV100,CubeMars,frameless,1.67,0.58,4008,2600,0.1808,listed,54,27,100,7,48,,,cubemars.com RI comparison; Φ54×27; weight 180.8 g
RI60 KV120,CubeMars,frameless,1.63,0.57,5064,3190,0.1559,listed,60,23,120,14,48,98.9,listed,cubemars.com RI60; no-load @48V; store ~$98.90
RI70 KV95,CubeMars,frameless,2.68,0.94,3912,2710,0.2704,listed,76,24,95,14,48,,,cubemars.com RI70; no-load @48V
RI80 V2.0 KV75,CubeMars,frameless,4.1,1.45,2960,2430,0.411,listed,85,27,75,8,48,140,listed,cubemars.com RI80 V2.0; store ~$133–148
RI100 KV105,CubeMars,frameless,4.95,1.76,4368,2825,0.5,listed,104,26,105,14,48,,,cubemars.com RI100; no-load @48V
RO80 KV105 Standard,CubeMars,frameless,4.0,1.3,5040,3600,0.352,listed,92.6,26.4,105,21,48,,,cubemars.com RO80 Standard with hall
RO80 KV105 Lite,CubeMars,frameless,4.0,1.3,5040,3600,0.265,listed,88.6,17.7,105,21,48,,,cubemars.com RO80 Lite without hall
GL80 KV30,CubeMars,outrunner,2.9,1.0,650,450,0.312,listed,87,22.3,27,21,24,181.99,listed,cubemars.com GL80 gimbal; peak 2.9 Nm; mass 312 g; store $181.99
EC 45 flat 70W,Maxon,flat,0.903,0.134,10000,2530,0.143,listed,43.4,28.7,,,48,,,Maxon EC frameless/flat 45 70W class (574037); stall 903 mNm; mass 143 g
EC 90 flat 360W,Maxon,flat,4.92,0.941,5000,2270,0.638,listed,90,,88.1,11,36,279.5,listed,maxongroup 607955 ventilated; stall 4920 mNm; €254.10 (~$279)
EC 90 flat 600W,Maxon,flat,9.95,1.56,5000,1620,0.988,listed,90,,70.2,11,30,,,maxongroup 597974 ventilated; stall 9950 mNm; mass 988 g
1660S036BHS,Faulhaber,inrunner,0.442,0.0103,97000,59530,0.078,listed,16,60,1527,1,36,,,Faulhaber 1660 BHS datasheet; stall 442 mNm; n_max 97000; mass 78 g
